Institute Name,Branch Name,Category,Gender,Closing Rank,Tuition Fee,Affiliated To
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,121885,89000,JNTUH
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,92595,89000,JNTUH
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,INFORMATION  TECHNOLOGY,OC,BOYS,75748,89000,JNTUH
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,MECHANICAL ENGINEERING,OC,BOYS,156840,89000,JNTUH
BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),CIVIL ENGINEERING,OC,BOYS,38238,68000,JNTUH
BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,69013,68000,JNTUH
BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,68527,68000,JNTUH
BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,52852,68000,JNTUH
BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (IOT),OC,BOYS,156840,68000,JNTUH
Institute Name,Branch Name,OC,BOYS,OC BOYS,Tuition Fee,"TS
Affiliated To"
BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),COMPUTER ENGINEERING(SOFTWARE ENGINEERING),OC,BOYS,156840,68000,JNTUH
BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,146703,68000,JNTUH
BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,94005,68000,JNTUH
BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),MECHANICAL ENGINEERING,OC,BOYS,156840,68000,JNTUH
BOMMA INST OF TECHNOLOGY AND SCI,CIVIL ENGINEERING,OC,BOYS,156840,63000,JNTUH
BOMMA INST OF TECHNOLOGY AND SCI,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,148056,63000,JNTUH
BOMMA INST OF TECHNOLOGY AND SCI,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,100298,63000,JNTUH
BOMMA INST OF TECHNOLOGY AND SCI,ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,156840,63000,JNTUH
BOMMA INST OF TECHNOLOGY AND SCI,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,156840,63000,JNTUH
BOMMA INST OF TECHNOLOGY AND SCI,MECHANICAL ENGINEERING,OC,BOYS,150026,63000,JNTUH
ANU BOSE INSTT OF TECHNOLOGY,CIVIL ENGINEERING,OC,BOYS,64665,95000,JNTUH
ANU BOSE INSTT OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,88144,95000,JNTUH
ANU BOSE INSTT OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,71834,95000,JNTUH
ANU BOSE INSTT OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,100979,95000,JNTUH
ANU BOSE INSTT OF TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGINEERING,OC,BOYS,103899,95000,JNTUH
ANU BOSE INSTT OF TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,106782,95000,JNTUH
ANU BOSE INSTT OF TECHNOLOGY,MECHANICAL ENGINEERING,OC,BOYS,156840,95000,JNTUH
ANU BOSE INSTT OF TECHNOLOGY,MINING ENGINEERING,OC,BOYS,156840,95000,JNTUH
BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,OC,BOYS,71680,72000,JNTUH
BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,CIVIL ENGINEERING,OC,BOYS,156840,72000,JNTUH
BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,75447,72000,JNTUH
Institute Name,Branch Name,OC,BOYS,OC BOYS,Tuition Fee,"TS
Affiliated To"
BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,93216,72000,JNTUH
BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,113619,72000,JNTUH
BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,124189,72000,JNTUH
